,bus,vLN,sInjkW
272,89.3,(0.5568482479476611+238.71054290554582j),(1.000007971611845+0.3286909699798151j)
273,90.1,(206.28883976808686-119.84332962204829j),-0j
274,90.2,(-207.1214049691456-118.76302052416058j),(-0+0j)
275,90.3,(0.599209558477381+238.87763181171604j),0j
276,91.1,(206.18640153990088-119.74202303833394j),-0j
277,91.2,(-207.12511941645803-118.76125144738587j),(-0+0j)
278,91.3,(0.596399248554125+238.8807137409364j),0j
279,92.1,(206.2898077769711-119.84425951983623j),-0j
280,92.2,(-207.12251234076265-118.76418158930207j),(-0+0j)
281,92.3,(0.5990063242494403+238.87778359902026j),0j
282,93.1,(206.28980777697103-119.84425951983627j),-0j
283,93.2,(-207.12251234076268-118.76418158930208j),(-0+0j)
284,93.3,(0.5990063242494492+238.8777835990203j),0j
285,94.1,(206.31691873580198-119.85699472926783j),-0j
286,94.2,(-206.96298262322549-118.73083422792571j),(-0+0j)
287,94.3,(0.6093114949707034+238.87795220918338j),0j
288,95.1,(205.7824433983983-119.72774006569055j),-0j
289,95.2,(-206.93660018467978-118.51876637714028j),(-0+0j)
290,95.3,(0.6404208278250224+238.44183890681308j),0j
291,96.1,(205.78530023653852-119.72931559936582j),-0j
292,96.2,(-206.93738229711647-118.52025931072095j),(-0+0j)
293,96.3,(0.6407512073848439+238.44288194168706j),0j
294,97.1,(205.4357573492948-119.68417089651298j),-0j
295,97.2,(-206.7131889147421-118.3237389551692j),(-0+0j)
296,97.3,(0.7288245580410784+238.00990171079243j),0j
297,98.1,(206.28824334110212-119.84275667675527j),-0j
298,98.2,(-207.120722675496-118.76230514789405j),(-0+0j)
299,98.3,(0.5993347787926675+238.8775382898016j),0j
300,99.1,(206.28883976808683-119.84332962204832j),-0j
301,99.2,(-207.12140496914557-118.7630205241606j),(-0+0j)
302,99.3,(0.5992095584774061+238.87763181171601j),0j
303,100.1,(206.16903426512744-119.72485222623956j),(1.0000089619244448+0.32869159291248373j)
304,100.2,(-207.12555727979435-118.76075932446152j),(-0+0j)
305,100.3,(0.5959613852178348+238.8812058638608j),0j
306,101.1,(206.31791489448563-119.85678934997567j),-0j
307,101.2,(-206.92661150085442-118.72087429803568j),(1.000008106227578+0.32869133133261186j)
308,101.3,(0.6103076536543156+238.87815758847552j),0j
309,102.1,(206.31769520564376-119.85683465057907j),-0j
310,102.2,(-206.9346326255721-118.72307108291677j),(1.000008071768172+0.3286913287232267j)
311,102.3,(0.6100879648124798+238.8781122878721j),0j
312,103.1,(205.78067728189708-119.72676606020426j),-0j
313,103.2,(-206.9361166775252-118.51784343558644j),(-0+0j)
314,103.3,(0.6402165849650434+238.4411940956574j),0j
315,104.1,(205.7824433983983-119.72774006569058j),-0j
316,104.2,(-206.93660018467978-118.5187663771403j),(-0+0j)
317,104.3,(0.6404208278250504+238.44183890681305j),0j
318,105.1,(205.43452130825875-119.68394607310861j),-0j
319,105.2,(-206.7124528689035-118.32305014474233j),(-0+0j)
320,105.3,(0.7290792625268667+238.00850545360453j),0j
321,106.1,(206.28784257100554-119.84237168522009j),-0j
322,106.2,(-207.1202642071522-118.76182444963112j),(-0+0j)
323,106.3,(0.5994189207901554+238.87747544759696j),0j
324,107.1,(206.2882433411021-119.84275667675529j),-0j
325,107.2,(-207.12072267549604-118.76230514789407j),(-0+0j)
326,107.3,(0.5993347787926592+238.87753828980158j),0j
327,108.1,(205.77856395168894-119.72560056788518j),-0j
328,108.2,(-206.9355381141775-118.51673904623027j),(-0+0j)
329,108.3,(0.6399721885135262+238.44042251637973j),0j
330,109.1,(205.7806772818971-119.72676606020426j),-0j
331,109.2,(-206.93611667752518-118.51784343558644j),(-0+0j)
332,109.3,(0.640216584965062+238.4411940956574j),0j
333,110.1,(205.43202784713927-119.6834925376666j),-0j
334,110.2,(-206.71096804629101-118.32166060995515j),(-0+0j)
335,110.3,(0.7295930769663848+238.00568878902047j),0j
336,111.1,(206.28748795898792-119.84203103449258j),-0j
337,111.2,(-207.11985854219438-118.76139911505095j),(-0+0j)
338,111.3,(0.5994933718625848+238.87741984314638j),0j
339,112.1,(206.28784257100554-119.84237168522013j),-0j
340,112.2,(-207.12026420715222-118.76182444963113j),(-0+0j)
341,112.3,(0.5994189207901618+238.87747544759696j),0j
342,113.1,(205.77602923296686-119.72420268165307j),-0j
343,113.2,(-206.9348441879069-118.51541444661636j),(-0+0j)
344,113.3,(0.6396790605117593+238.43949708767303j),0j
345,114.1,(205.77856395168897-119.7256005678852j),-0j
346,114.2,(-206.93553811417743-118.51673904623028j),(-0+0j)
347,114.3,(0.639972188513558+238.44042251637973j),0j
348,115.1,(205.42815554125022-119.68278820426065j),-0j
349,115.2,(-206.70866214013452-118.31950268429219j),(-0+0j)
350,115.3,(0.7303910227071118+238.001314553236j),0j
351,116.1,(206.28693752247557-119.84171189255161j),-0j
352,116.2,(-207.1197939140411-118.76112894534208j),(-0+0j)
353,116.3,(0.5993961137685357+238.87732045853753j),0j
354,117.1,(206.28748795898792-119.84203103449262j),-0j
355,117.2,(-207.1198585421944-118.76139911505099j),(-0+0j)
356,117.3,(0.5994933718626031+238.87741984314636j),0j
357,118.1,(206.28752616073461-119.84202314532595j),-0j
358,118.2,(-207.11705099089326-118.7607620877244j),(-0+0j)
359,118.3,(0.5995315736093562+238.877427732313j),0j
360,119.1,(205.76571906511393-119.71851666940762j),-0j
361,119.2,(-206.9320215881981-118.51002653345736j),(-0+0j)
362,119.3,(0.6384867392988595+238.4357328335892j),0j
363,120.1,(205.77602923296686-119.72420268165305j),-0j
364,120.2,(-206.9348441879069-118.51541444661638j),(-0+0j)
365,120.3,(0.6396790605117683+238.43949708767303j),0j
366,121.1,(205.35896422649188-119.67020300159862j),-0j
367,121.2,(-206.66745964135384-118.28094433739352j),(-0+0j)
368,121.3,(0.7446489136089122+237.92315463156103j),0j
369,122.1,(206.28651472500323-119.84129451930767j),-0j
370,122.2,(-207.11969432071663-118.76075316551875j),(-0+0j)
371,122.3,(0.5993362751833854+238.87757895563385j),0j
372,123.1,(206.28693752247563-119.84171189255166j),-0j
373,123.2,(-207.11979391404105-118.76112894534212j),(-0+0j)
374,123.3,(0.5993961137685806+238.8773204585375j),0j
375,124.1,(206.2869312733159-119.84173074952281j),-0j
376,124.2,(-207.11980016320084-118.76114780231327j),(-0+0j)
377,124.3,(0.599209585881507+238.87660794009554j),0j
378,125.1,(206.28754584574423-119.84201908011077j),-0j
379,125.2,(-207.11560428546164-118.76043383338653j),(-0+0j)
380,125.3,(0.5995512586190413+238.87743179752815j),0j
381,126.1,(205.75533002949578-119.71278716193629j),-0j
382,126.2,(-206.92917739697543-118.5045974053854j),(-0+0j)
383,126.3,(0.6372852974091636+238.4319397847941j),0j
384,127.1,(205.76571906511393-119.7185166694076j),-0j
385,127.2,(-206.93202158819815-118.51002653345738j),(-0+0j)
386,127.3,(0.6384867392988666+238.43573283358919j),0j
387,128.1,(205.34525465295116-119.66770936837278j),-0j
388,128.2,(-206.6592957744138-118.27330438295326j),(-0+0j)
389,128.3,(0.7474739734380511+237.90766801741185j),0j
390,129.1,(206.2859987848479-119.84078519834344j),-0j
391,129.2,(-207.11957278688877-118.76029460104509j),(-0+0j)
392,129.3,(0.5992632541012521+238.87789439988475j),0j
393,130.1,(206.28651472500323-119.84129451930765j),-0j
394,130.2,(-207.11969432071666-118.76075316551878j),(-0+0j)
395,130.3,(0.599336275183391+238.87757895563385j),0j
396,131.1,(206.2866995399989-119.84243000969425j),-0j
397,131.2,(-207.12003189651793-118.76184706248473j),(-0+0j)
398,131.3,(0.5922926997579074+238.85018610579178j),0j
399,132.1,(206.28756560692173-119.84201499916593j),-0j
400,132.2,(-207.11415198224432-118.76010430892318j),(-0+0j)
401,132.3,(0.5995710197965932+238.87743587847288j),0j
402,133.1,(205.7523308382984-119.71113312117588j),-0j
403,133.2,(-206.9283563127487-118.5030300805902j),(-0+0j)
404,133.3,(0.6369384554044443+238.43084477665525j),0j
405,134.1,(205.7553300294958-119.71278716193628j),-0j
406,134.2,(-206.92917739697543-118.50459740538541j),(-0+0j)
407,134.3,(0.6372852974092034+238.4319397847941j),0j
408,135.1,(205.3452546529524-119.66770936837294j),-0j
409,135.2,(-206.65929577441347-118.27330438295402j),(-0+0j)
410,135.3,(0.7474739734380678+237.90766801741165j),0j
411,136.1,(205.34525465295118-119.66770936837275j),-0j
412,136.2,(-206.6592957744139-118.27330438295331j),(-0+0j)
413,136.3,(0.7474739734380612+237.90766801741188j),0j
414,137.1,(205.3438662602573-119.66745683373777j),-0j
415,137.2,(-206.65846900520924-118.27253067129146j),(-0+0j)
416,137.3,(0.7477600722298304+237.90609966068146j),0j
417,138.1,(206.27811696639898-119.83300449872111j),-0j
418,138.2,(-207.11771616154914-118.75328928872229j),(-0+0j)
419,138.3,(0.5981477392368227+238.8827133198527j),0j
420,139.1,(206.28599878484792-119.84078519834343j),-0j
421,139.2,(-207.11957278688877-118.7602946010451j),(-0+0j)
422,139.3,(0.5992632541012979+238.87789439988478j),0j
423,140.1,(206.2864388325068-119.84321670005004j),-0j
424,140.2,(-207.12029260401007-118.76263375284054j),(-0+0j)
425,140.3,(0.5845109786932735+238.82046068587096j),(1.0000075482749853+0.32869093815408484j)
426,141.1,(206.28758544947277-119.84201090141634j),-0j
